CountyName,2023-03-31
Anderson County,207778.62308843207
Andrews County,198874.46706246943
Angelina County,161055.55123288717
Aransas County,286760.47938561725
Archer County,124190.2976988878
Armstrong County,159438.8270770352
Atascosa County,240943.00928011612
Austin County,330605.9070337254
Bailey County,92408.11669229368
Bandera County,374074.6235741446
Bastrop County,410011.2340993892
Baylor County,65294.49016324143
Bee County,129512.51375354573
Bell County,256783.22875969502
Bexar County,300331.3899586621
Blanco County,611071.863142877
Bosque County,192388.40957819935
Bowie County,150207.63179990364
Brazoria County,262147.3172184782
Brazos County,271750.1973750369
Brewster County,200969.49567578637
Briscoe County,139058.22733118318
Brooks County,49485.066005403416
Brown County,223296.17624915348
Burleson County,184825.02165865136
Burnet County,440954.74112641223
Caldwell County,304135.60241885134
Calhoun County,194197.3531911975
Callahan County,120192.18691593112
Cameron County,171852.29193379942
Camp County,201528.45264907507
Carson County,108125.46479802293
Cass County,130284.78071586484
Castro County,94132.70524789499
Chambers County,240871.6389919119
Cherokee County,172259.40532476822
Childress County,74800.2522886833
Clay County,135022.29027396132
Cochran County,44517.225019797435
Coleman County,77735.78007374516
Collin County,505755.76666184777
Collingsworth County,62036.11240433482
Colorado County,204421.45861816427
Comal County,478869.1032608035
Comanche County,189088.7485983343
Concho County,97452.1074278407
Cooke County,325965.71392727934
Coryell County,263015.384690078
Cottle County,51237.731522064365
Crane County,142549.2969277528
Crockett County,66656.79995308955
Crosby County,58772.9548685182
Culberson County,86205.2745358483
Dallas County,396233.1321226101
Dawson County,69586.47605543777
De Witt County,168484.51100829674
Deaf Smith County,205251.56993498374
Delta County,148742.29098302056
Denton County,442207.5075608594
Dickens County,55374.15012530539
Dimmit County,72909.54959598514
Donley County,73443.81164661543
Duval County,59971.277321876216
Eastland County,121761.58256006509
Ector County,218684.0950059486
El Paso County,193306.08987280185
Ellis County,307749.8400491824
Erath County,272250.5735920473
Falls County,102006.97126146458
Fannin County,231959.44885911775
Fayette County,496056.1922107698
Fisher County,83574.14914967117
Floyd County,62655.86748263942
Foard County,64028.22767362569
Fort Bend County,337766.8417707432
Franklin County,372493.53025561984
Freestone County,204133.09823102286
Frio County,164174.4560969072
Gaines County,150749.08609171864
Galveston County,311080.31557093764
Garza County,61983.643163738736
Gillespie County,424833.0949230751
Glasscock County,163091.8610428148
Goliad County,188475.2916791757
Gonzales County,183661.7813802403
Gray County,68418.60569254741
Grayson County,300922.7040539476
Gregg County,199981.53190850947
Grimes County,323007.6670717023
Guadalupe County,355026.4744954168
Hale County,96354.3575772496
Hall County,51798.61157562261
Hamilton County,219969.9912095779
Hansford County,118878.37969671152
Hardeman County,40544.73356324102
Hardin County,181827.96785876594
Harris County,307960.1007484024
Harrison County,176515.71371305935
Hartley County,146270.02188693956
Haskell County,51640.156453765754
Hays County,598365.8287493925
Hemphill County,135213.85758000848
Henderson County,265711.9323552242
