County,Offense,Offense Description,Offense Date
Mitchell,Violent,INDECENCY W/CHILD SEXUAL CONTACT,6/1/2018
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/29/2017
Brown,Drug,POSS CS PG 1 >=1G<4G,12/27/2017
Wilson,Property,"THEFT PROP >=$2,500<$30K",8/21/2017
Eastland,Drug,POSS CS PG 1 >=1G<4G,6/29/2018
Kerr,Violent,AGG ASSAULT W/DEADLY WEAPON,8/5/2017
Dallas,Violent,INDECENCY W/A CHILD EXPOSES,2/9/2018
Bexar,Other,UNL POSS FIREARM BY FELON,8/9/2018
Matagorda,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,5/26/2018
Brazoria,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/27/2019
Wichita,Violent,AGG ASSAULT W/DEADLY WEAPON,10/7/2017
Dallas,Drug,POSS CS PG 1 <1G,8/7/2018
Denton,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/25/2017
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER W/PREV CONV,3/19/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/5/2018
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/22/2017
Bexar,Drug,MAN DEL CS PG 1 >=1G<4G,11/28/2018
Bexar,Drug,POSS CS PG 1 >=1G<4G,3/22/2018
Harris,Other,ONLINE SOLICITATION OF A  MINOR UNDER 14,6/13/2017
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/4/2018
Tarrant,Drug,POSS CS PG 1 <1G,12/2/2018
Harris,Property,THEFT FROM PERSON,5/6/2018
Harris,Property,"THEFT PROP >=$2,500<$30K",6/5/2018
Orange,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,8/4/2017
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/5/2018
Rains,Drug,POSS CS PG 1 <1G,9/16/2017
McLennan,Other,UNL POSS FIREARM BY FELON,12/20/2017
Tarrant,Violent,AGG ASSAULT W/DEADLY WEAPON,8/12/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/18/2017
Harris,Other,UNL POSS FIREARM BY FELON,9/12/2018
Bexar,Drug,POSS CS PG 1 <1G,6/4/2018
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,12/1/2018
Victoria,Drug,POSS CS PG 1 <1G,2/20/2018
Bexar,Violent,AGG ASSAULT W/DEADLY WEAPON,3/14/2019
Smith,Violent,AGG ASSAULT W/DEADLY WEAPON,5/20/2018
El Paso,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/7/2018
El Paso,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,9/8/2017
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/14/2018
Galveston,Other,UNL POSS FIREARM BY FELON,9/27/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/3/2018
Mitchell,Drug,MAN DEL CS PG 1 >=1G<4G,10/12/2017
Ector,Property,BURGLARY OF HABITATION,1/20/2018
Smith,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/17/2017
Parker,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,4/7/2018
Kerr,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/20/2018
Rains,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/10/2018
Harris,Drug,POSS CS PG 1 <1G,4/29/2018
Tarrant,Property,BURGLARY OF VEHICLES W/PREV 2 OR MORE CONV,5/11/2018
Kaufman,Violent,AGG ASSAULT W/DEADLY WEAPON,11/12/2018
McLennan,Drug,POSS CS PG 1 <1G,5/4/2019
Hays,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,10/23/2017
Smith,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,1/12/2018
Dallas,Violent,ROBBERY,8/18/2017
Brazoria,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,12/7/2018
Mitchell,Other,ENGAGING IN ORGANIZED CRIMINAL ACTIVITY,9/27/2017
San Patricio,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/2/2018
Kerr,Violent,AGG SEXUAL ASSAULT CHILD,6/16/2018
Galveston,Violent,UNLAWFUL RESTRAINT:EXPOSE TO SBI,6/28/2018
Dallas,Other,EXPLOITATION OF CHILD/ELDERLY/DISABLED,4/23/2018
Harris,Violent,SEXUAL ASSAULT,7/7/2017
Hunt,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/3/2018
Gregg,Drug,POSS CS PG 1 >=1G<4G,5/1/2018
Bailey,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,3/19/2018
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,4/30/2018
Tarrant,Violent,AGG ASSAULT W/DEADLY WEAPON,8/21/2018
Harris,Drug,POSS CS PG 1 <1G,7/6/2018
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/6/2019
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,2/22/2018
Fort Bend,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/3/2018
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,5/7/2018
Travis,Other,UNL POSS FIREARM BY FELON,10/29/2018
Navarro,Drug,POSS CS PG 1 <1G,3/28/2017
Titus,Drug,POSS CS PG 1 <1G,3/15/2018
Jefferson,Drug,POSS CS PG 1 <1G,1/23/2018
Collin,Violent,AGG ASSAULT W/DEADLY WEAPON,10/10/2017
Reeves,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/4/2017
Tarrant,Drug,MAN DEL CS PG 1 >=4G<200G,5/2/2018
Hidalgo,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/13/2018
Galveston,Drug,POSS CS PG 1 >=4G<200G,1/23/2018
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/3/2018
El Paso,Drug,POSS CS PG 1 <1G,3/22/2018
Williamson,Violent,AGG SEXUAL ASSAULT CHILD,7/4/2018
Bexar,Drug,MAN DEL CS PG 1 >=4G<200G,2/26/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/8/2019
Hidalgo,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,9/20/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/10/2017
Tarrant,Drug,MAN DEL CS PG 3/4 <28G,4/16/2019
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,6/13/2017
Hidalgo,Drug,POSS CS PG 1 <1G,12/29/2017
Waller,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,6/7/2017
Tarrant,Drug,POSS CS PG 2 >= 4G<400G,1/31/2018
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,1/22/2019
Tarrant,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,11/26/2017
Jefferson,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,1/8/2018
Wichita,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/24/2017
Hopkins,Property,FORGERY FINANCIAL INSTRUMENT,2/22/2018
Cameron,Violent,AGG ASSAULT W/DEADLY WEAPON,10/29/2018
Grayson,Drug,POSS CS PG 1 <1G,12/5/2018
Hidalgo,Drug,MAN DEL CS PG 1 >=4G<200G,7/21/2017
Hidalgo,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/7/2018
Hidalgo,Property,BURGLARY OF HABITATION,1/10/2019
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/20/2017
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/28/2018
Taylor,Violent,INJURY CHILD/ELDERLY/DISABLED CRIMINAL NEGLIGENCE,5/22/2018
Travis,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,6/19/2018
Tarrant,Drug,POSS CS PG 1 <1G,8/4/2018
Wharton,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/5/2019
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/8/2019
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,10/3/2018
