COUNTY,AVG_OFFENCE_COUNT,Offense Count,OFFENSE_PCT,SAFETY_ISSUE_RANK,SAFETY_LINDEX
Anderson,43.0,128.0,0.20207761043225664,0.7362204724409449,1
Andrews,16.0,48.0,0.07577910391209625,0.5078740157480315,2
Angelina,114.0,341.0,0.5383473840421837,0.8503937007874016,1
Aransas,18.0,53.0,0.08367276056960626,0.5275590551181102,2
Archer,4.0,10.0,0.01578731331502005,0.23031496062992127,4
Armstrong,1.0,1.0,0.001578731331502005,0.04133858267716536,5
Atascosa,53.0,158.0,0.2494395503773168,0.7598425196850394,1
Austin,17.0,50.0,0.07893656657510024,0.5118110236220472,2
Bailey,7.0,21.0,0.033153357961542104,0.3169291338582677,3
Bandera,17.0,51.0,0.08051529790660225,0.5177165354330708,2
Bastrop,23.0,69.0,0.10893246187363835,0.5866141732283464,2
Baylor,3.0,5.0,0.007893656657510024,0.13188976377952755,4
Bee,20.0,39.0,0.0615705219285782,0.4645669291338583,3
Bell,257.0,771.0,1.2172018565880458,0.9429133858267716,1
Bexar,1080.0,4317.0,6.815383158094155,0.9921259842519685,1
Blanco,11.0,32.0,0.05051940260806416,0.4015748031496063,3
Borden,1.0,1.0,0.001578731331502005,0.04133858267716536,5
Bosque,15.0,45.0,0.07104290991759023,0.49015748031496065,3
Bowie,156.0,621.0,0.9803921568627451,0.905511811023622,1
Brazoria,285.0,855.0,1.3498152884342143,0.9488188976377953,1
Brazos,203.0,609.0,0.961447380884721,0.9015748031496063,1
Brewster,3.0,7.0,0.011051119320514035,0.17913385826771652,4
Briscoe,0.0,0.0,0.0,0.013779527559055118,5
Brooks,5.0,10.0,0.01578731331502005,0.23031496062992127,4
Brown,73.0,219.0,0.3457421615989391,0.7834645669291339,1
Burleson,25.0,73.0,0.11524738719964638,0.610236220472441,2
Burnet,40.0,119.0,0.1878690284487386,0.7145669291338582,1
Caldwell,25.0,75.0,0.11840484986265039,0.6181102362204725,2
Calhoun,18.0,53.0,0.08367276056960626,0.5275590551181102,2
Callahan,8.0,22.0,0.03473208929304411,0.328740157480315,3
Cameron,200.0,598.0,0.944081336238199,0.8976377952755905,1
Camp,8.0,23.0,0.03631082062454612,0.34448818897637795,3
Carson,5.0,13.0,0.020523507309526064,0.265748031496063,4
Cass,27.0,79.0,0.1247197751886584,0.6240157480314961,2
