,RegionID,City,2017 % Change,2018 % Change,2019 % Change,2020 % Change,2021 % Change,2022 % Change,Total Change,Variance,Mean Value
1,91982,Katy,0.006868058100974959,0.012019860595708068,0.009229553013807512,0.051874832724117734,0.1801395326771497,0.09867772986749175,0.3951062324561899,6863252114.181847,90674226.92472121
2,91940,Katy,0.02691439589840608,0.054373578300062335,0.0381912280757682,0.0626721817831262,0.14407942556982165,0.12026745444561203,0.5083354655517583,2148057078.100242,28475890.708314337
4,92593,Pflugerville,0.015032718951532792,0.03172768582399559,0.030619012719731668,0.11248419057854507,0.23093228278522349,0.038123195155347296,0.4829461560454472,7029435657.032666,92821055.2704722
6,93144,El Paso,5.2418016854822265e-05,0.034652200936807986,0.027042016546913843,0.08667379910584291,0.11045329850211721,0.12469707400812302,0.469481783621162,842509318.4305184,11234705.821811927
9,91733,Houston,0.020437670992705815,0.04036329046893232,0.05176868757865284,0.06577094479034724,0.12994217389556006,0.11039041072199995,0.47521083646025725,2003172907.2270536,26566595.066908788
10,91926,Cypress,0.012020037445538142,0.033474559786752824,0.03072198016978814,0.06604451477342142,0.18116683962220043,0.10702750478543836,0.49330927643775435,5576012518.001457,73687874.13587798
27,90654,Grand Prairie,0.049494407690847994,0.0734041762273734,0.04573530247488225,0.07808549030858593,0.12758468134637066,0.0979478611730392,0.548018081459072,3324367253.728719,43996829.05957814
34,92036,League City,0.0349291513247949,0.036086652167431815,0.033830792356930685,0.056203262908122484,0.14464541739709647,0.0734724278517334,0.43604795688649095,3867806990.3397536,51182822.179022454
40,92341,San Antonio,0.040058232148166915,0.05154685818408661,0.051602876426413306,0.07671882576693641,0.1602813892883,0.09707043202962055,0.5594377302533138,2196797645.402337,29113410.064018928
46,92551,Cedar Park,0.015732510146474334,0.03079148797285501,0.035307110026486,0.1125542156207907,0.1898979500318128,0.035600051341542635,0.4440579020647979,9773493807.97741,128996272.21107621
48,92481,Brownsville,0.0010828272245562592,-0.012737340201043402,0.060876808381776275,0.1635990132481169,0.16553519146579587,0.12094579962580244,0.7290750560105073,389289413.8806537,5209997.867354999
50,91968,Sugar Land,0.0012424700512728465,0.003461372983460815,-0.004278956963168296,0.029432780552388963,0.1347374840639292,0.08855527233048219,0.27068129714580114,7064373062.800062,93359546.75733565
53,93146,El Paso,0.003908276188026792,0.022677789547729428,0.01832099638417232,0.0751854233551779,0.168810960949102,0.12645914567627298,0.48931985433715175,1372531045.4357219,18234522.531924203
60,91922,Cypress,0.016421451112937968,0.040496977348753564,0.03157533953176751,0.06089067353508789,0.15776372443893763,0.114123286154956,0.4771663302207871,4084027990.4725432,54021002.60674169
66,399727,Edinburg,0.0030142838277790462,0.06523980409354611,0.03829827236081754,0.15509813323432797,0.125323872824501,0.18326242130701006,0.6900197501651102,1823083832.5364082,24113815.157408945
72,92045,Pearland,0.016109771599036742,0.028627674354518816,0.022345203730524583,0.03817499634239742,0.1558041479599187,0.09331688808284508,0.39802757266680644,3629563436.525777,48043471.74226569
75,92271,New Braunfels,0.0403273551645642,0.03394466516999815,0.03211683781882135,0.08180653419684884,0.21360976902096784,0.08934590134574057,0.5667396949706627,3753232708.3736277,49639687.191400245
78,90769,Dallas,0.10725018743873599,0.17043378039803259,0.06612979585350101,0.11259730905476845,0.11049752109881622,0.2302017400601671,1.0939535679925676,1390299023.191246,18434648.47108747
84,91889,Spring,0.013976476323939259,0.03358569562817118,0.03125774105601831,0.05579626596573936,0.1439535862417035,0.1113358732953349,0.4364280208994731,3757151292.7549,49717272.94278513
90,93137,Horizon City,0.00872258246891479,0.039019775691083586,0.024050327397415003,0.06841523617151167,0.18122341566713845,0.13017163481573807,0.5462360213666313,1335283047.6153784,17737542.95403032
92,92598,San Marcos,0.03286267085152457,0.03304128029982472,0.05040166745030503,0.09755118572767393,0.26329984218853864,0.0861136381477128,0.657487565617146,4564033445.854393,60305962.17864323
105,92520,Pharr,0.03821499898971324,0.06385726107388207,0.05664644547083045,0.14075880865199442,0.13157476434772233,0.1683407153726514,0.7899151051224949,598981346.1834129,7986825.266880732
114,93123,El Paso,0.01293191628172561,0.022319113660627683,0.028572518146036195,0.08200155870520866,0.14058121937878432,0.11279834717456272,0.48673104652178373,1936588800.0647042,25689639.947100352
116,91221,Mansfield,0.039120176391004145,0.0510204413764731,0.04181397641110209,0.07841198564538224,0.14728214138152626,0.1095391168917212,0.543262447211221,5734867761.621394,75781937.27723148
118,91950,Missouri City,0.0054937923817578995,0.013012172722597054,0.007436596797482916,0.0415030150618577,0.16441907963046756,0.09989525533137342,0.3614077494696973,4158261068.8152103,55016489.12345252
